PET,Times,Weights,FC,TC,STR,THA,WB,CBL,StartTime,Duration
flfp_2,185.0,0.982557,344.63110507190214,316.88482070333924,339.07297653186214,375.35396683084394,311.0655596607295,349.51616880070037,175.0,20.0
flfp_2,210.0,0.982706,358.50850139489285,325.53345382332077,350.7691744291005,368.58118758129933,316.5371097688249,352.92447297315977,195.0,30.0
flfp_2,240.0,0.982697,360.53117338191356,325.8929679142003,357.5840384751152,376.6397182632302,317.59397162301815,358.8148096361118,225.0,30.0
flfp_2,270.0,0.982686,361.32296567737046,333.9521944852205,360.98102737317294,393.68651821513856,322.4439680422012,368.23109611140177,255.0,30.0
flfp_2,300.0,0.982679,367.5408620090336,342.05358685663293,339.14320917962476,393.12002813503847,324.48906186303094,361.61800514677407,285.0,30.0
flfp_2,345.0,0.983389,368.6801900720036,342.1098075321053,369.0350176797241,398.96380112578515,325.993548640985,366.97203549214817,315.0,60.0
flfp_2,405.0,0.98334,368.75327978972985,342.26372027928625,362.6131911686874,398.7802809431329,327.15882704826055,367.54744699286397,375.0,60.0
flfp_2,465.0,0.983296,376.8895773401026,343.3252566651607,380.1268930067935,408.51890947229555,329.3632079716311,371.622973604307,435.0,60.0
flfp_2,525.0,0.983265,374.20792408620645,340.68554022398854,362.1593533432801,394.52155731789924,326.23381392390974,364.8624184596255,495.0,60.0
flfp_2,645.0,0.989363,367.8399582379839,343.54727870624225,359.4595924050225,395.71638272655656,323.61613389619794,364.95511010260094,555.0,180.0
flfp_2,825.0,0.988638,359.16126945393984,334.4315083574664,343.22495161178233,385.5479862771058,317.5874713989957,357.3348825104908,735.0,180.0
flfp_2,1005.0,0.98803,349.01807597263564,324.9817784761127,340.6225790860519,395.60650287844595,309.0463579534485,349.0079338980779,915.0,180.0
flfp_2,1185.0,0.987511,334.79266752754535,314.24982508179295,322.01144492662524,387.57937991294165,299.1180863616155,335.25523760525897,1095.0,180.0
